[14:03:01] [INFO] received Windows console close event; shutting log-core down
[14:04:06] [INFO] received Windows console close event; shutting log-core down
[14:09:40] [INFO] received Windows console close event; shutting log-core down
[01:33:49] [INFO] received Windows console close event; shutting log-core down
[22:34:26] [INFO] received Windows console close event; shutting log-core down
[22:35:46] [INFO] received Windows console close event; shutting log-core down
[22:36:06] [INFO] received Windows console close event; shutting log-core down
[22:36:39] [INFO] received Windows console close event; shutting log-core down
[22:39:31] [INFO] received Windows console close event; shutting log-core down
[22:43:02] [INFO] received Windows console close event; shutting log-core down
[22:44:53] [INFO] received Windows console close event; shutting log-core down
[22:45:41] [INFO] received Windows console close event; shutting log-core down
[22:49:14] [INFO] received Windows console close event; shutting log-core down
[22:49:59] [INFO] received Windows console close event; shutting log-core down
[22:52:03] [INFO] received Windows console close event; shutting log-core down
[23:08:11] [INFO] received Windows console close event; shutting log-core down
[23:37:45] [INFO] received Windows console close event; shutting log-core down
[01:04:02] [INFO] received Windows console close event; shutting log-core down
[01:44:57] [INFO] received Windows console close event; shutting log-core down
[01:45:19] [INFO] received Windows console close event; shutting log-core down
[01:47:05] [INFO] received Windows console close event; shutting log-core down
[01:47:29] [INFO] received Windows console close event; shutting log-core down
[02:04:39] [INFO] received Windows console close event; shutting log-core down
[13:49:09] [INFO] received Windows console close event; shutting log-core down
[13:52:52] [INFO] received Windows console close event; shutting log-core down
[14:09:06] [INFO] received Windows console close event; shutting log-core down
[14:11:44] [INFO] received Windows console close event; shutting log-core down
[22:46:45] [INFO] received Windows console close event; shutting log-core down
[22:56:55] [INFO] received Windows console close event; shutting log-core down
[22:58:34] [INFO] received Windows console close event; shutting log-core down
[23:04:15] [INFO] received Windows console close event; shutting log-core down
[23:12:13] [INFO] received Windows console close event; shutting log-core down
[01:18:54] [INFO] received Windows console close event; shutting log-core down
[01:36:56] [INFO] received Windows console close event; shutting log-core down
[01:39:22] [INFO] received Windows console close event; shutting log-core down
[01:40:59] [INFO] received Windows console close event; shutting log-core down
[01:47:44] [INFO] received Windows console close event; shutting log-core down
[12:24:01] [INFO] received Windows console close event; shutting log-core down
[12:27:56] [INFO] received Windows console close event; shutting log-core down
[12:48:27] [INFO] received Windows console close event; shutting log-core down
[12:50:42] [INFO] received Windows console close event; shutting log-core down
[13:04:20] [INFO] received Windows console close event; shutting log-core down
[13:06:10] [INFO] received Windows console close event; shutting log-core down
[13:26:59] [INFO] received Windows console close event; shutting log-core down
[13:27:52] [INFO] received Windows console close event; shutting log-core down
[13:29:58] [INFO] received Windows console close event; shutting log-core down
[13:36:28] [INFO] received Windows console close event; shutting log-core down
[13:46:01] [INFO] received Windows console close event; shutting log-core down
[13:47:09] [INFO] received Windows console close event; shutting log-core down
[13:49:36] [INFO] received Windows console close event; shutting log-core down
[13:50:30] [INFO] received Windows console close event; shutting log-core down
[13:55:59] [INFO] received Windows console close event; shutting log-core down
[14:01:09] [INFO] received Windows console close event; shutting log-core down
[14:02:28] [INFO] received Windows console close event; shutting log-core down
[14:03:48] [INFO] received Windows console close event; shutting log-core down
[14:10:14] [INFO] received Windows console close event; shutting log-core down
[14:10:22] [INFO] received Windows console close event; shutting log-core down
[14:14:53] [INFO] received Windows console close event; shutting log-core down
[14:17:44] [INFO] received Windows console close event; shutting log-core down
[14:22:24] [INFO] received Windows console close event; shutting log-core down
[14:31:40] [INFO] received Windows console close event; shutting log-core down
[14:32:23] [INFO] received Windows console close event; shutting log-core down
[14:32:53] [INFO] received Windows console close event; shutting log-core down
[14:35:59] [INFO] received Windows console close event; shutting log-core down
[14:46:18] [INFO] received Windows console close event; shutting log-core down
[14:53:39] [INFO] received Windows console close event; shutting log-core down
[14:55:24] [INFO] received Windows console close event; shutting log-core down
[15:05:19] [INFO] received Windows console close event; shutting log-core down
[15:07:17] [INFO] received Windows console close event; shutting log-core down
[15:08:48] [INFO] received Windows console close event; shutting log-core down
[15:12:18] [INFO] received Windows console close event; shutting log-core down
[15:16:18] [INFO] received Windows console close event; shutting log-core down
[15:45:30] [INFO] received Windows console close event; shutting log-core down
[20:42:56] [INFO] received Windows console close event; shutting log-core down
[20:48:49] [INFO] received Windows console close event; shutting log-core down
[20:53:07] [INFO] received Windows console close event; shutting log-core down
